facilityID,latitude,longitude,visit_order,TSP_total_distance_km
24,39.9474991,-82.9452203,0,39.66665199756243
113,39.9340217,-82.9543037,1,39.66665199756243
340,39.949215,-82.96214,2,39.66665199756243
484,39.9341141,-82.9555928,3,39.66665199756243
773,39.9622327,-82.9664751,4,39.66665199756243
345,39.9581994,-82.9448635,5,39.66665199756243
503,39.9581304,-82.9667079,6,39.66665199756243
408,39.9428375,-82.9638463,7,39.66665199756243
213,39.925958,-82.96524,8,39.66665199756243
319,39.9429161,-82.9551331,9,39.66665199756243
50,39.9575111,-82.9503226,10,39.66665199756243
219,39.9579384,-82.9703041,11,39.66665199756243
347,39.9497142,-83.001981,12,39.66665199756243
294,39.9618786,-82.9816749,13,39.66665199756243
142,39.9576086,-82.9622071,14,39.66665199756243
399,39.9458573,-82.9447888,15,39.66665199756243
415,39.9575227,-82.9576578,16,39.66665199756243
177,39.9645005,-82.9782868,17,39.66665199756243
216,39.949892,-82.972657,18,39.66665199756243
230,39.933238,-82.964426,19,39.66665199756243
