Facility ID,Name,City,Site Address,Work Area,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit
27,AMERICAN EAGLE DISCOUNT,COLUMBUS,1485 SUNBURY RD STE B,9,1,0,0,0,0,28,10,1
28,ARABIAN MARKET,COLUMBUS,1910 HARD RD,1,4,0,0,0,0,23,1,1
29,ARENA WINE AND SPIRITS,COLUMBUS,492 ARMSTRONG ST,13,4,1,0,0,1,4,1,0
30,ASWAQ BALADNA,COLUMBUS,2487 E DUBLIN GRANVILLE RD,4,1,0,0,0,0,2,10,0
31,AU MARKET,COLUMBUS,2281 SULLIVANT AVE,10,5,1,0,0,1,8,1,0
32,B & M MARKET 2,COLUMBUS,2552 LOCKBOURNE RD,12,1,0,0,0,0,20,10,1
33,BARLEY BIN OF DUBLIN,DUBLIN,5931 KARRIC SQUARE DR,5,3,2,0,0,0,26,1,0
34,BEDS 'N' STUFF,COLUMBUS,2194 N HIGH ST,8,4,0,0,0,0,2,1,0
35,BEDS 'N' STUFF,COLUMBUS,2230 MORSE RD,4,2,1,0,0,0,10,5,0
36,BEDS 'N' STUFF,COLUMBUS,5846 COLUMBUS SQ,3,3,1,0,0,1,2,1,0
37,BEDS 'N' STUFF SUPERSTORE,COLUMBUS,3592 SOLDANO BLVD,10,3,0,0,0,0,34,1,1
38,BEDS 'N' STUFF SUPERSTORE,LEWIS CENTER,720 POLARIS PKWY,1,4,1,0,0,1,7,1,0
39,BEECHWOOD MARKET,COLUMBUS,3796 E LIVINGSTON AVE,11,1,0,0,0,0,16,10,1
40,BEER 4 LESS,COLUMBUS,1255 MORSE RD,6,3,1,0,0,0,1,1,0
41,BEER DOCK,COLUMBUS,414 FREBIS AVE,14,4,2,0,0,0,29,1,0
42,BEER FRAME CARRYOUT,COLUMBUS,2676 COURTRIGHT RD,12,5,0,0,0,0,35,1,1
43,BEER ZONE,COLUMBUS,4658 KENNY RD,3,4,1,0,0,1,12,1,0
44,BELL STORES #123,COLUMBUS,7200 SAWMILL RD,1,1,0,0,0,0,5,10,0
45,BELVIDERE FAST MART 1ST FLOOR & BASEMENT,COLUMBUS,126 BELVIDERE AVE,10,2,0,0,0,0,25,5,1
46,BERRY SUPPLIES LTD,COLUMBUS,1889 SULLIVANT AVE,10,3,1,0,0,1,23,1,0
47,BEST BUDZ THREE SMOKE SHOP,COLUMBUS,7424 SAWMILL RD,1,5,0,0,0,0,27,1,1
48,BEST MARKET & DRIVE THRU,COLUMBUS,2844 E 5TH AVE,11,1,1,1,0,0,10,15,0
49,BEVERAGE DOCK,GROVE CITY,2330 HARRISBURG PIKE,11,4,2,0,0,0,15,1,0
50,BEVERAGE WAREHOUSE,COLUMBUS,1848 E MAIN ST,14,2,0,0,0,0,23,5,1
51,BEVERAGE WAREHOUSE,COLUMBUS,847 E 11TH AVE,9,2,1,0,0,0,12,5,0
52,BEXLEY LIQUOR AGENCY,COLUMBUS,2173-77 E LIVINGSTON AVE,14,3,1,0,0,1,13,1,0
53,BG'S  CARRYOUT,COLUMBUS,920 E WEBER RD,6,5,0,0,0,0,12,1,0
54,BIG R,COLUMBUS,3420 BEXVIE AVE # C,11,4,1,0,0,1,21,1,0
55,BISTA BROTHERS ASIAN GROCERY,COLUMBUS,4625 MAIZE RD,6,5,2,0,0,0,20,1,0
56,BOULEVARD CARRY OUT,COLUMBUS,1288-90 W 3RD AVE,8,0,0,0,0,0,0,20,1
57,BP,COLUMBUS,4569 S HIGH ST,12,3,0,0,0,0,7,1,0
58,BP OIL,COLUMBUS,1950 E 17TH AVE,9,5,1,0,0,1,26,1,0
59,BREW HOUSE EXPRESS DRIVE THRU,COLUMBUS,5311 SINCLAIR RD,4,5,2,1,0,0,1,6,0
60,BRICE PARK SMOKE SHOP AND CARRYOUT,COLUMBUS,6351 TUSSING RD,7,5,0,0,0,0,11,1,0
61,BRIGGS MART,COLUMBUS,2774 BRIGGS RD,10,0,0,0,0,0,0,20,1
62,BRIGGS STOP MART,COLUMBUS,3452 BRIGGS RD,10,4,2,0,0,0,26,1,0
63,BROAD & HAGUE MARATHON,COLUMBUS,2805 W BROAD ST,10,3,2,0,1,0,31,1,1
64,BROAD AND PRINCETON MARKET,COLUMBUS,1306 W BROAD ST,13,2,0,0,0,0,28,5,1
65,BRONZEVILLE DRIVE THRU,COLUMBUS,1232 MT VERNON AVE,13,5,1,0,0,0,34,1,1
66,BROOKSHIRE FOODLINER,COLUMBUS,2781 EAKIN RD,10,3,0,0,0,0,21,1,1
67,BROTHERS MARKET,COLUMBUS,1971 DOREN AVE,10,4,1,0,0,0,6,1,0
68,BUCKEYE ONE STOP SHOP,COLUMBUS,2222 SUMMIT ST,8,4,0,0,0,0,29,1,1
69,BUCKEYE SUPER MARKET,COLUMBUS,3201 SULLIVANT AVE,10,1,0,0,0,0,6,10,0
70,BUCKEYE WINE & SPIRITS,COLUMBUS,506-510 ACKERMAN RD,5,2,0,0,0,0,13,5,0
71,BUCKS SMOKE SHOP,HILLIARD,5051 ROBERTS RD,5,3,1,0,0,0,8,1,0
72,BULLDOG'S BEER WINE BREW THRU,COLUMBUS,987 WORTHINGTON WOODS LOOP RD,2,3,0,0,0,0,7,1,0
73,BUS TOWN FLOWER COMPANY,COLUMBUS,893 E MAIN ST,14,2,0,0,0,0,14,5,1
74,BUSHMAN MARKETS,COLUMBUS,1145 PARSONS AVE,14,5,1,0,0,0,33,1,1
75,BUSTOWN FLOWER CO,COLUMBUS,1747 PARSONS AVE,13,2,1,0,0,0,11,5,0
76,CANAL WINCHESTER SHELL,COLUMBUS,3480 GENDER RD,12,3,1,0,0,1,4,1,0
77,CANNA CABANA 614,COLUMBUS,2737 SULLIVANT AVE,10,3,1,0,0,0,33,1,1
78,CARTEL PALACE,COLUMBUS,1127 N HIGH ST,9,4,1,0,0,0,14,1,1
79,CASABLANCA CAFE AND HOOKAH BAR,COLUMBUS,19-21 E DUNCAN ST,8,4,0,0,0,0,21,1,1
80,CASSADY MARKET,COLUMBUS,2466 N CASSADY AVE,7,3,2,0,1,0,12,1,0
81,CENTRAL POINT LIQUOR,COLUMBUS,689 HARRISBURG PIKE,13,3,1,0,0,0,4,1,0
82,CERTIFIED #038,COLUMBUS,1270 HARMON AVE,13,1,1,1,0,1,16,15,0
83,CERTIFIED GAS STATION #004,COLUMBUS,74 W MOUND ST,13,4,1,0,0,0,24,1,1
84,CERTIFIED OIL #219,COLUMBUS,1081 FRANK RD,11,2,0,0,0,0,14,5,1
85,CERTIFIED OIL #235,COLUMBUS,1950 LOCKBOURNE RD,14,5,0,0,0,0,35,1,1
86,CERTIFIED OIL #354,COLUMBUS,2483 PARSONS AVE,12,2,0,0,0,0,9,5,0
87,CERTIFIED OIL #388,COLUMBUS,3204 W BROAD ST,10,5,2,0,0,0,10,1,0
88,CERTIFIED OIL #485,GALLOWAY,4580 ALKIRE RD,11,4,2,0,0,1,9,1,0
89,CERTIFIED OIL #488,COLUMBUS,1401 BETHEL RD,2,2,0,0,0,0,30,5,1
90,CERTIFIED OIL #489,COLUMBUS,856-858 FRANK RD,11,5,0,0,0,0,14,1,1
91,CERTIFIED OIL *490,COLUMBUS,2025 IKEA WY,2,3,1,0,0,0,9,1,0
92,CERTIFIED OIL CORPORATION #491,COLUMBUS,5991 S HIGH ST,12,1,0,0,0,0,6,10,0
93,CHAMPS MARKET,COLUMBUS,219 W 8TH AVE,9,3,0,0,0,0,21,1,1
94,CHATEAU WINE & SPIRITS,COLUMBUS,2131 POLARIS PKWY,2,5,0,0,0,0,26,1,1
95,CHAUDHARY MART (SUNOCO),COLUMBUS,4251 KIMBERLY PKWY,12,2,0,0,0,0,33,5,1
96,CHEEMA MAIN ST MART,COLUMBUS,3140 E MAIN ST,11,4,0,0,0,0,21,1,1
97,CHUCK'S CARRY OUT,COLUMBUS,3140 ALLEGHENY AVE,11,4,0,0,0,0,11,1,0
98,CIRCLE A,COLUMBUS,4432 WALFORD ST,6,2,0,0,0,0,12,5,0
99,CIRCLE DRIVE THRU,COLUMBUS,1848 TAMARACK CIR S,4,1,0,0,0,0,16,10,1
100,CIRCLE K  #4705265,WESTERVILLE,8303 SANCUS BLVD,1,3,3,1,1,1,3,6,0
101,CIRCLE K  #4705267,COLUMBUS,1573 SCHROCK RD,2,2,0,0,0,0,4,5,0
102,CIRCLE K #4705268,COLUMBUS,5499 HALL RD,11,1,0,0,0,0,23,10,1
103,CIRCLE K #4705269,COLUMBUS,3749 TWIN CREEKS DR,8,3,0,0,0,0,8,1,0
104,CIRCLE K #4705686,COLUMBUS,2481 PETZINGER RD,12,3,0,0,0,0,33,1,1
105,CIRCLE K #4705698,COLUMBUS,1574 KENNY RD,8,2,1,0,0,0,35,5,1
106,CIRCLE MART,COLUMBUS,1876 TAMARACK CIR S,4,3,0,0,0,0,14,1,1
107,CIRCLE SMOKE SHOP,COLUMBUS,1852 TAMARACK CIR S,4,1,1,0,0,0,1,10,0
108,CIRCLE V FOOD,COLUMBUS,2124 W MOUND ST,10,2,0,0,0,0,34,5,1
109,CLOUD NINE,COLUMBUS,2151 E DUBLIN GRANVILLE RD UNIT C,4,4,1,0,0,1,10,1,0
110,COLLEGE CENTRAL PETROLEUM,WESTERVILLE,6809 N HAMILTON RD,4,3,0,0,0,0,28,1,1
111,COME AND GO CENTER,COLUMBUS,884 OAKLAND PARK AVE,6,3,0,0,0,0,13,1,0
112,CONVENIENT PLUS FOOD MART,COLUMBUS,1475 E LIVINGSTON AVE,14,5,1,0,0,0,14,1,1
113,CONVENIENT PLUS FOOD MART,COLUMBUS,1541 FREBIS AVE,14,1,0,0,0,0,13,10,0
114,CONVENIENT PLUS FOOD MART,COLUMBUS,3351 E MAIN ST,11,1,0,0,0,0,30,10,1
115,CONVENIENT PLUS FOOD MART,COLUMBUS,5435 E LIVINGSTON AVE,11,1,0,0,0,0,27,10,1
116,CORNER STONE CRAFT BEER & WINE,COLUMBUS,61 PARSONS AVE,14,1,1,1,0,0,30,15,1
117,COUNTRY FOOD STORE,COLUMBUS,3861 SULLIVANT AVE,10,5,2,0,1,0,30,1,1
118,CROWN SMOKE AND CELL,CANAL WINCHESTER,3544 GENDER RD,12,4,1,0,0,0,29,1,1
119,CROWN TOBACCO AND VAPE,COLUMBUS,2750 S HAMILTON RD,12,3,0,0,0,0,2,1,0
120,CRUZ & BOOZE DRIVE THRU,COLUMBUS,1511 FREBIS AVE,14,1,0,0,0,0,6,10,0
121,CULEBRA CIGARS COMPANY,COLUMBUS,1786 W 5TH AVE,8,4,1,0,0,0,35,1,1
122,DAHAB RESTAURANT AND CAFE,HILLIARD,3708 FISHINGER BLVD,5,1,0,0,0,0,20,10,1
123,DAIRY FAMILY,COLUMBUS,184 W 5TH AVE,9,5,0,0,0,0,23,1,1
124,DAIRY LAND EXPRESS,COLUMBUS,2555 PETZINGER RD,12,4,0,0,0,0,24,1,1
125,DARBY SUNOCO,HILLIARD,4537 SCIOTO DARBY RD,5,4,0,0,0,0,13,1,0
126,DARSHAN MART,COLUMBUS,1283 MORSE RD,6,1,1,1,0,0,14,15,1
127,DASHMART,COLUMBUS,1530 GERRARD AVE,8,4,2,0,1,0,10,1,0
128,DAY MART,COLUMBUS,981 E LIVINGSTON AVE,14,2,0,0,0,0,3,5,0
129,DE STORE,CANAL WINCHESTER,5273 GENDER RD,12,1,0,0,0,0,7,10,0
130,DE STORE,COLUMBUS,5593 CHATTERTON RD,12,1,0,0,0,0,16,10,1
131,DEMOREST BEER DOCK,COLUMBUS,1232 DEMOREST RD,11,4,1,1,0,0,23,6,1
132,DEMOREST MARKET,COLUMBUS,1425 DEMOREST RD,11,5,2,0,0,0,3,1,0
133,DOLLAR EXPRESS #19258,COLUMBUS,128 N WILSON RD,10,2,0,0,0,0,2,5,0
134,DOLLAR GENERAL #06035,COLUMBUS,3150 HILLIARD ROME RD,5,5,1,0,0,0,2,1,0
135,DOLLAR GENERAL #10181,COLUMBUS,3636 LOCKBOURNE RD,12,2,0,0,0,0,27,5,1
136,DOLLAR GENERAL #10722,COLUMBUS,3350 CLEVELAND AVE STE 1970,6,3,0,0,0,0,10,1,0
137,DOLLAR GENERAL #10953,COLUMBUS,745 GEORGESVILLE RD,10,3,0,0,0,0,1,1,0
138,DOLLAR GENERAL #11851,COLUMBUS,3000 E BROAD ST,11,0,0,0,0,0,4,20,0
139,DOLLAR GENERAL #12259,COLUMBUS,4050 ALUM CREEK DR,12,0,0,0,0,0,0,20,1
140,DOLLAR GENERAL #12721,COLUMBUS,4932 N HIGH ST,6,2,0,0,0,0,5,5,0
141,DOLLAR GENERAL #13063,COLUMBUS,2012 LOCKBOURNE RD,14,3,0,0,0,0,15,1,1
142,DOLLAR GENERAL #14153,COLUMBUS,1391 E MAIN ST,14,5,2,1,0,1,15,6,0
143,DOLLAR GENERAL #17280,COLUMBUS,1862 HARD RD,1,2,0,0,0,0,26,5,1
144,DOLLAR GENERAL #30929,COLUMBUS,3355 E LIVINGSTON AVE,11,2,1,0,0,1,12,5,0
145,DOLLAR GENERAL #3235,COLUMBUS,1959 MORSE RD,6,2,0,0,0,0,8,5,0
146,DOLLAR GENERAL #3341,COLUMBUS,3221 S HIGH ST,12,3,1,0,0,0,2,1,0
147,DOLLAR GENERAL #6024,COLUMBUS,1162 HARRISBURG PIKE,13,4,2,0,0,0,20,1,0
148,DOLLAR GENERAL #7676,COLUMBUS,1260 DEMOREST RD,11,4,1,0,0,0,35,1,1
149,DOLLAR GENERAL #8184,COLUMBUS,4245 MACSWAY AVE,12,5,1,0,0,0,10,1,0
150,DOLLAR GENERAL #8351,COLUMBUS,1660 E DUBLIN GRANVILLE RD,3,2,0,0,0,0,20,5,1
151,DOLLAR GENERAL #8357,COLUMBUS,1237 MORSE RD,6,1,0,0,0,0,22,10,1
152,DOLLAR GENERAL #8422,COLUMBUS,5680 CLEVELAND AVE,3,4,0,0,0,0,29,1,1
153,DOLLAR GENERAL #9923,COLUMBUS,1130 NORTON RD,11,2,1,0,0,0,25,5,1
154,DOLLAR GENERAL STORE #16681,CANAL WINCHESTER,6335 REFUGEE RD,12,2,0,0,0,0,13,5,0
155,DOLLAR GENERAL STORE #17278,COLUMBUS,5950 E LIVINGSTON AVE,7,3,1,0,0,0,16,1,1
156,DOLLAR GENERAL STORE #17396,COLUMBUS,3561 SULLIVANT AVE,10,5,0,0,0,0,6,1,0
157,DOLLAR GENERAL STORE #20240,COLUMBUS,1350 W BROAD ST,13,4,0,0,0,0,16,1,1
158,DOLLAR GENERAL STORE #20932,COLUMBUS,2556 LOCKBOURNE RD,12,0,0,0,0,0,28,20,1
159,DOLLAR GENERAL STORE #21592,COLUMBUS,166 S HIGH ST,13,1,0,0,0,0,10,10,0
160,DOLLAR GENERAL STORE #22948,COLUMBUS,415 NORTON RD,11,1,0,0,0,0,10,10,0
161,DOLLAR GENERAL STORE #23287,COLUMBUS,1431 CLEVELAND AVE,9,3,0,0,0,0,27,1,1
162,DOLLAR PLUS,COLUMBUS,1975 CLEVELAND AVE,9,5,1,0,0,0,2,1,0
163,DOLLAR PLUS,COLUMBUS,993 MT VERNON AVE,13,3,0,0,0,0,27,1,1
164,DON'S DRIVE THRU,HILLIARD,2618 HILLIARD ROME RD,5,2,0,0,0,0,24,5,1
165,DONS QUICK STOP,COLUMBUS,1724 CLEVELAND AVE,9,1,0,0,0,0,14,10,1
166,DOWNTOWN CONVENIENCE,COLUMBUS,26 N HIGH ST FRONT,10,2,0,0,0,0,14,5,1
167,DOWNTOWN MOBIL,COLUMBUS,215 E RICH ST,13,4,1,0,0,0,9,1,0
168,DREAM EXCLUSIVE,COLUMBUS,2102 CLEVELAND AVE,9,4,1,1,0,0,17,6,1
169,DRIVE N GO DRIVE THRU,COLUMBUS,4827 E MAIN ST,11,4,1,0,0,1,12,1,0
170,DRIVE THRU 1,COLUMBUS,1201 N WILSON RD,8,5,0,0,0,0,16,1,1
171,DRUG MART #65,LEWIS CENTER,8951 S OLD STATE RD,1,5,0,0,0,0,19,1,1
172,DT EXPRESS,COLUMBUS,1131 E HUDSON ST,9,3,2,0,0,0,17,1,0
173,DUCHESS #1610/E  BROAD & NEW ALBANY RD,COLUMBUS,7040 E BROAD ST,7,1,1,1,0,0,32,15,1
174,DUCHESS #1634 EASTON,COLUMBUS,4024 MORSE RD,3,3,1,0,0,0,22,1,1
175,DUCHESS COLUMBUS #1631,COLUMBUS,4835 N HAMILTON RD,4,3,2,1,1,0,30,6,1
176,DUCHESS DUBLIN & GRANDVIEW #1616,COLUMBUS,1090 DUBLIN RD,8,3,1,0,0,0,5,1,0
177,DUCHESS E BROAD ST #1619,COLUMBUS,825 E BROAD ST,14,0,0,0,0,0,0,20,1
178,DUCHESS HIGH & GREENLAWN #1615,COLUMBUS,1091 S HIGH ST,14,5,1,0,0,0,30,1,1
179,DUCHESS I-70 & ROME HILLIARD #1623,COLUMBUS,925 HILLIARD ROME RD,5,0,0,0,0,0,0,20,1
180,DUCHESS I-71 & POLARIS PKWY #1622,COLUMBUS,1925 POLARIS PKWY,2,0,0,0,0,0,0,20,1
181,DUCHESS MORSE RD #1618,COLUMBUS,935 MORSE RD,6,5,2,1,0,0,25,6,0
182,DUCHESS OLENTANGY & 5TH #1612,COLUMBUS,1347 OLENTANGY RIVER RD,8,3,1,0,0,0,26,1,1
183,DUCHESS POLARIS FASHION MALL #1633,COLUMBUS,1060 POLARIS PKWY,1,4,0,0,0,0,18,1,1
184,DUCHESS SHOPPE EAST 5TH AVENUE #1259,COLUMBUS,2365 E 5TH AVE,9,4,0,0,0,0,34,1,1
185,DUCHESS SHOPPE HIGH & HENDERSON #1264,COLUMBUS,4387 N HIGH ST,6,0,0,0,0,0,12,20,0
186,DUCHESS SHOPPE LINWORTH #1271,WORTHINGTON,2230 W DUBLIN GRANVILLE RD,3,3,1,1,0,0,2,6,0
187,DUCHESS SHOPPE OLENTANGY & BETHEL #1267,COLUMBUS,5067 OLENTANGY RIVER RD,3,3,1,0,0,0,30,1,1
188,DUCHESS SHOPPE SANCUS BLVD #1270,WORTHINGTON,7525 SANCUS BLVD,2,5,1,0,0,0,14,1,1
189,DUCHESS SHOPPE WILSON RD #1260,COLUMBUS,850 WILSON RD,10,3,0,0,0,0,13,1,0
190,DUCHESS TUSSING & BRICE #1617,REYNOLDSBURG,6310 TUSSING RD,7,4,1,1,0,0,28,6,1
191,DUCHESS TUTTLE CROSSING #1625,DUBLIN,5099 TUTTLE CROSSING BLV,1,3,0,0,0,0,28,1,1
192,DUCHESS WORTHINGTON #1628,WORTHINGTON,7141 N HIGH ST,3,5,2,1,1,1,13,6,0
193,DUKE/DUCHESS #1626,COLUMBUS,7310 SAWMILL RD,1,4,3,1,1,1,8,6,0
194,E & E MARKET,COLUMBUS,778 E HUDSON ST,6,3,0,0,0,0,21,1,1
195,E & S MARKET,COLUMBUS,1800 E HUDSON ST,6,1,1,1,0,0,31,15,1
196,EAGLE FUEL,COLUMBUS,3851 E LIVINGSTON AVE,11,3,0,0,0,0,14,1,1
197,EAKIN ROAD MARKET,COLUMBUS,2220 EAKIN RD,10,2,1,1,0,1,1,10,0
198,EAST MAIN STREET SMOKESHOP & CARRYOUT,COLUMBUS,2914 E MAIN ST,11,4,1,0,0,1,2,1,0
199,EAST SIDE MARKET,COLUMBUS,2110 LEONARD AVE,9,4,2,0,0,0,31,1,0
200,EASTLAND FOOD MART,COLUMBUS,2213 COURTRIGHT RD,12,4,1,0,0,0,23,1,1
201,EASTLAND SHELL,COLUMBUS,2191 S HAMILTON RD,12,3,1,0,0,0,9,1,0
202,EASTLAND SUNOCO MINI MART,COLUMBUS,2190 S HAMILTON RD,12,3,1,0,0,0,9,1,0
203,EASTON MART,COLUMBUS,4242 MORSE RD,4,4,1,0,0,0,22,1,1
204,EASY MART,COLUMBUS,4366 KARL RD,6,1,0,0,0,0,6,10,0
205,ECKELS MARKET,COLUMBUS,1943 HARD RD,1,0,0,0,0,0,0,20,1
206,EL DORADO GAMING SCIOTO DOWNS - THE TERRACE,COLUMBUS,6000 S HIGH ST,12,4,1,0,0,0,26,1,1
207,EMPORIUM SMOKE SHOP,COLUMBUS,2016 SULLIVANT AVE,10,1,0,0,0,0,27,10,1
208,ERIKA KAY,COLUMBUS,3984 ALUM CREEK DR,12,2,0,0,0,0,30,5,1
209,EV MARKET PLACE,CANAL WINCHESTER,4984-86 GENDER RD,12,3,1,0,0,1,25,1,0
210,EXOTIC PUFF N STUFF,COLUMBUS,1496 BETHEL RD,2,3,1,0,0,0,6,1,0
211,EXPRESS BEVERAGE CENTER,COLUMBUS,348 WILLIAMS RD,12,3,0,0,0,0,7,1,0
212,EXPRESS DRIVE THRU,COLUMBUS,1320 E HUDSON ST,6,3,0,0,0,0,2,1,0
213,EXPRESS DRIVE THRU,COLUMBUS,1925 LOCKBOURNE RD,14,1,0,0,0,0,26,10,1
214,EXPRESS MARKET,COLUMBUS,900 E 5TH AVE,9,2,1,0,0,1,3,5,0
215,F O E 2252,COLUMBUS,3800 WESTERVILLE RD,6,5,3,0,1,0,35,1,0
216,FAMILY CARRYOUT,COLUMBUS,940 E LIVINGSTON AVE,14,4,3,1,1,0,22,6,0
217,FAMILY DOLLAR #28449,REYNOLDSBURG,2746 BRICE RD,7,4,0,0,0,0,13,1,0
218,FAMILY DOLLAR #30064,CANAL WINCHESTER,6480 WINCHESTER PIKE,12,1,0,0,0,0,16,10,1
219,FAMILY DOLLAR #31024,COLUMBUS,1092 E MAIN ST,14,5,0,0,0,0,16,1,1
220,FAMILY DOLLAR #31767,GROVE CITY,2180 HARRISBURG PIKE,11,5,2,0,0,1,1,1,0
221,FAMILY DOLLAR #33958,COLUMBUS,3307 E BROAD ST,11,3,1,0,0,0,6,1,0
222,FAMILY DOLLAR STORE  #21304,COLUMBUS,629 HARRISBURG PIKE,13,3,0,0,0,0,5,1,0
223,FAMILY DOLLAR STORE #20973,COLUMBUS,2052 LOCKBOURNE RD,14,1,0,0,0,0,34,10,1
224,FAMILY DOLLAR STORE #22007,COLUMBUS,3631 SULLIVANT AVE,10,1,1,1,0,0,7,15,0
225,FAMILY DOLLAR STORE #23980,COLUMBUS,2175 EAKIN RD,11,2,0,0,0,0,12,5,0
226,FAMILY DOLLAR STORE #24540,COLUMBUS,937 E DUBLIN GRANVILLE RD,4,3,0,0,0,0,23,1,1
227,FAMILY DOLLAR STORE #24764,COLUMBUS,2485 E DUBLIN GRANVILLE RD,4,3,0,0,0,0,6,1,0
228,FAMILY DOLLAR STORE #25765,COLUMBUS,2777 SULLIVANT AVE,10,5,1,0,0,0,20,1,1
229,FAMILY DOLLAR STORE #26200,COLUMBUS,5061 ROBERTS RD,5,4,1,0,0,1,27,1,0
230,FAMILY DOLLAR STORE #26750,COLUMBUS,1600 LOCKBOURNE RD,14,1,0,0,0,0,22,10,1
231,FAMILY DOLLAR STORE #27108,COLUMBUS,1159 W BROAD ST,13,3,0,0,0,0,1,1,0
232,FAMILY DOLLAR STORE #28375,COLUMBUS,1792 E DUBLIN GRANVILLE RD,3,2,0,0,0,0,18,5,1
233,FAMILY DOLLAR STORE #30095,COLUMBUS,3619 S HAMILTON RD,12,4,1,0,0,1,23,1,0
234,FAMILY DOLLAR STORES #30703,COLUMBUS,1449 OAKLAND PARK AVE,6,2,0,0,0,0,16,5,1
235,FAMILY DOLLAR STORES #32242,COLUMBUS,1541 SCHROCK RD,3,5,1,0,0,1,10,1,0
236,FAMILY DRIVE THRU,COLUMBUS,1535 E LIVINGSTON AVE,14,5,0,0,0,0,15,1,1
237,FARIS GROCERY,COLUMBUS,1615 E MAIN ST,14,2,0,0,0,0,32,5,1
238,FAST MART,COLUMBUS,3495 PARSONS AVE,12,2,2,1,1,0,35,10,1
239,FAST STOP,COLUMBUS,3245 E BROAD ST,11,3,0,0,0,0,16,1,1
240,FIFTH & SUNBURY MARKET,COLUMBUS,2157 E 5TH AVE,9,3,1,0,0,0,5,1,0
241,FINE FAIR FOOD,COLUMBUS,1547 CLEVELAND AVE,9,2,0,0,0,0,30,5,1
242,FINNIGANS DRIVE THRU,REYNOLDSBURG,2679 INDEPENDENCE VILLAGE CTR,7,3,1,0,0,1,21,1,0
243,FIRST TOBACCO DISCOUNTERS,COLUMBUS,5691 EMPORIUM SQ,3,4,1,0,0,0,23,1,1
244,FISHER ROAD BELL STORE #124,COLUMBUS,5501 FISHER RD,5,4,1,0,0,0,35,1,1
245,FIVE BROTHERS MARKET,COLUMBUS,1230 E LONG ST,13,3,2,0,0,1,19,1,0
246,FM MARKET,COLUMBUS,2007 CLEVELAND AVE,9,2,1,0,0,1,13,5,0
247,FOOD MART,COLUMBUS,1536 W BROAD ST,13,3,2,1,1,0,14,6,1
248,FOODMART EXPRESS,COLUMBUS,2714 SULLIVANT AVE,10,3,0,0,0,0,28,1,1
249,FRANKLINTON MARKET,COLUMBUS,439 W RICH ST,13,4,1,0,0,0,23,1,1
250,FRANTZ ROAD MARKET,DUBLIN,5744 FRANTZ RD,5,3,2,1,1,0,2,6,0
251,FYRE FLAME SMOKE SHOP,COLUMBUS,3192 N HIGH ST,6,4,1,0,0,0,22,1,1
252,GALLOWAY WINE AND SPIRITS,GALLOWAY,950 S GALLOWAY RD,11,2,1,0,0,0,15,5,1
253,GAS LITE DRIVE THRU,COLUMBUS,3446 SULLIVANT AVE,10,2,0,0,0,0,22,5,1
254,GATEWAY MART,COLUMBUS,207 E 11TH AVE,8,1,0,0,0,0,10,10,0
255,GEORGESVILLE SHELL,COLUMBUS,1240 GEORGESVILLE RD,11,1,1,1,0,0,14,15,1
256,GET GO #3504,COLUMBUS,2888 BETHEL RD,2,1,0,0,0,0,2,10,0
257,GET GO #3512,COLUMBUS,2845 N HIGH ST,6,4,1,0,0,0,18,1,1
258,GET GO #3513,COLUMBUS,6825 E BROAD ST,7,5,2,0,0,0,6,1,0
259,GET GO #3517,COLUMBUS,2920 STELZER RD,7,2,2,1,0,1,14,10,0
260,GET GO #3528,COLUMBUS,5465 NEW ALBANY RD W,4,5,1,0,0,1,24,1,0
261,GET GO #3529,DUBLIN,6780 HAYDEN RUN RD,1,0,0,0,0,0,0,20,1
262,GET GO #3539,COLUMBUS,820 W 3RD AVE,8,1,0,0,0,0,5,10,0
263,GET N GO DRIVE THRU,COLUMBUS,3612 LOCKBOURNE RD,12,4,1,1,0,0,19,6,1
264,GETGO #3537,GROVEPORT,3765 S HAMILTON RD,12,2,0,0,0,0,22,5,1
265,GIANT EAGLE #6504,COLUMBUS,4747 SAWMILL RD,5,2,0,0,0,0,32,5,1
266,GIANT EAGLE #6512,COLUMBUS,2801 N HIGH ST,6,1,0,0,0,0,23,10,1
267,GIANT EAGLE #6513,COLUMBUS,6867 E BROAD ST,7,4,0,0,0,0,30,1,1
268,GIANT EAGLE #6517,COLUMBUS,2900 STELZER RD,7,3,1,0,0,0,17,1,1
269,GIANT EAGLE #6528,COLUMBUS,5461 NEW ALBANY RD W,4,5,3,0,1,0,16,1,0
270,GIANT EAGLE #6529,HILLIARD,6700 HAYDEN RUN RD,1,1,0,0,0,0,25,10,1
271,GIANT EAGLE #6537,GROVEPORT,3841 S HAMILTON RD,12,4,1,1,0,0,7,6,0
272,GIANT EAGLE #6539,COLUMBUS,840 W 3RD AVE,8,2,1,0,0,0,33,5,1
273,GILLIGAN EXXON/SUBWAY #1003,COLUMBUS,1866 SUMMIT ST,8,4,0,0,0,0,28,1,1
274,GILLIGAN SUBWAY/EXXON #1002,COLUMBUS,2187 NEIL AVE,8,3,1,1,0,0,7,6,0
275,GLEASON MARKET,COLUMBUS,1004 W RICH ST,13,3,0,0,0,0,27,1,1
276,GOLDEN MARKET,COLUMBUS,2185 W MOUND ST,10,4,2,0,1,1,4,1,0
