Facility ID,Name,Site Address,City
88,CERTIFIED OIL #485,4580 ALKIRE RD,GALLOWAY
89,CERTIFIED OIL #488,1401 BETHEL RD,COLUMBUS
90,CERTIFIED OIL #489,856-858 FRANK RD,COLUMBUS
91,CERTIFIED OIL *490,2025 IKEA WY,COLUMBUS
92,CERTIFIED OIL CORPORATION #491,5991 S HIGH ST,COLUMBUS
93,CHAMPS MARKET,219 W 8TH AVE,COLUMBUS
94,CHATEAU WINE & SPIRITS,2131 POLARIS PKWY,COLUMBUS
95,CHAUDHARY MART (SUNOCO),4251 KIMBERLY PKWY,COLUMBUS
96,CHEEMA MAIN ST MART,3140 E MAIN ST,COLUMBUS
97,CHUCK'S CARRY OUT,3140 ALLEGHENY AVE,COLUMBUS
98,CIRCLE A,4432 WALFORD ST,COLUMBUS
99,CIRCLE DRIVE THRU,1848 TAMARACK CIR S,COLUMBUS
100,CIRCLE K  #4705265,8303 SANCUS BLVD,WESTERVILLE
101,CIRCLE K  #4705267,1573 SCHROCK RD,COLUMBUS
102,CIRCLE K #4705268,5499 HALL RD,COLUMBUS
103,CIRCLE K #4705269,3749 TWIN CREEKS DR,COLUMBUS
104,CIRCLE K #4705686,2481 PETZINGER RD,COLUMBUS
105,CIRCLE K #4705698,1574 KENNY RD,COLUMBUS
106,CIRCLE MART,1876 TAMARACK CIR S,COLUMBUS
107,CIRCLE SMOKE SHOP,1852 TAMARACK CIR S,COLUMBUS
108,CIRCLE V FOOD,2124 W MOUND ST,COLUMBUS
109,CLOUD NINE,2151 E DUBLIN GRANVILLE RD UNIT C,COLUMBUS
110,COLLEGE CENTRAL PETROLEUM,6809 N HAMILTON RD,WESTERVILLE
111,COME AND GO CENTER,884 OAKLAND PARK AVE,COLUMBUS
112,CONVENIENT PLUS FOOD MART,1475 E LIVINGSTON AVE,COLUMBUS
113,CONVENIENT PLUS FOOD MART,1541 FREBIS AVE,COLUMBUS
114,CONVENIENT PLUS FOOD MART,3351 E MAIN ST,COLUMBUS
115,CONVENIENT PLUS FOOD MART,5435 E LIVINGSTON AVE,COLUMBUS
116,CORNER STONE CRAFT BEER & WINE,61 PARSONS AVE,COLUMBUS
117,COUNTRY FOOD STORE,3861 SULLIVANT AVE,COLUMBUS
118,CROWN SMOKE AND CELL,3544 GENDER RD,CANAL WINCHESTER
